iter	Passed	Remaining
0	158	157956
1	158	79267
2	159	53013
3	160	39875
4	160	31995
5	161	26765
6	162	23022
7	162	20204
8	163	18008
9	164	16251
10	164	14812
11	165	13616
12	166	12607
13	166	11749
14	167	10998
15	168	10339
16	168	9759
17	169	9242
18	170	8781
19	170	8365
20	171	7989
21	172	7646
22	172	7337
23	173	7051
24	174	6791
25	174	6549
26	175	6323
27	176	6115
28	176	5920
29	177	5738
30	178	5567
31	178	5409
32	179	5260
33	180	5119
34	180	4986
35	181	4859
36	182	4739
37	182	4625
38	183	4518
39	183	4415
40	184	4319
41	185	4228
42	186	4140
43	186	4055
44	187	3973
45	187	3896
46	188	3821
47	189	3750
48	189	3682
49	190	3619
50	191	3557
51	191	3496
52	192	3437
53	192	3380
54	193	3326
55	194	3273
56	194	3223
57	195	3174
58	196	3127
59	196	3084
60	197	3043
61	198	3000
62	198	2959
63	199	2920
64	200	2882
65	201	2844
66	201	2808
67	202	2772
68	203	2740
69	203	2707
70	204	2674
71	205	2642
72	205	2612
73	206	2581
74	206	2551
75	207	2523
76	208	2494
77	208	2467
78	209	2444
79	210	2419
80	211	2394
81	211	2369
82	211	2341
83	212	2317
84	213	2294
85	213	2272
86	214	2249
87	214	2228
88	215	2207
89	216	2186
90	216	2166
91	217	2146
92	218	2127
93	218	2107
94	219	2089
95	219	2070
96	220	2052
97	221	2034
98	221	2017
99	222	2001
100	223	1985
101	223	1968
102	224	1953
103	224	1937
104	225	1922
105	226	1906
106	226	1891
107	227	1877
108	227	1862
109	228	1849
110	229	1836
111	229	1822
112	230	1809
113	231	1796
114	231	1784
115	232	1771
116	233	1758
117	233	1746
118	234	1734
119	235	1723
120	235	1711
121	236	1699
122	236	1687
123	237	1676
124	237	1665
125	238	1654
126	238	1642
127	239	1632
128	240	1621
129	240	1612
130	241	1602
131	242	1592
132	242	1582
133	244	1577
134	244	1568
135	245	1558
136	245	1549
137	246	1540
138	247	1531
139	247	1523
140	248	1514
141	249	1504
142	249	1496
143	250	1488
144	250	1479
145	251	1471
146	252	1463
147	252	1455
148	253	1448
149	254	1440
150	254	1433
151	255	1425
152	256	1418
153	256	1410
154	257	1403
155	258	1396
156	258	1389
157	259	1382
158	260	1376
159	260	1369
160	261	1361
161	261	1354
162	262	1348
163	263	1341
164	263	1335
165	264	1328
166	265	1321
167	265	1315
168	266	1309
169	266	1303
170	267	1297
171	268	1291
172	268	1285
173	269	1279
174	270	1273
175	270	1267
176	271	1261
177	271	1255
178	272	1250
179	273	1245
180	273	1239
181	274	1233
182	275	1228
183	275	1222
184	276	1216
185	276	1211
186	277	1206
187	277	1200
188	278	1195
189	279	1190
190	279	1185
191	280	1180
192	281	1175
193	281	1170
194	282	1165
195	282	1160
196	283	1155
197	284	1150
198	284	1145
199	285	1141
200	285	1136
201	286	1132
202	287	1127
203	287	1122
204	288	1118
205	288	1113
206	289	1109
207	290	1104
208	290	1100
209	291	1096
210	292	1091
211	292	1087
212	293	1083
213	293	1079
214	294	1074
215	295	1070
216	295	1066
217	296	1062
218	296	1058
219	297	1054
220	298	1050
221	298	1047
222	299	1043
223	300	1039
224	300	1035
225	301	1031
226	301	1028
227	302	1024
228	303	1020
229	303	1016
230	304	1013
231	305	1010
232	305	1006
233	306	1002
234	306	999
235	307	995
236	308	992
237	308	988
238	309	985
239	309	981
240	310	978
241	311	975
242	311	971
243	312	968
244	313	965
245	313	961
246	314	958
247	315	955
248	315	952
249	316	948
250	316	945
251	317	942
252	318	939
253	318	936
254	319	933
255	320	930
256	320	927
257	321	923
258	321	920
259	322	917
260	323	915
261	323	912
262	324	909
263	325	906
264	325	903
265	326	900
266	326	897
267	327	894
268	328	891
269	328	888
270	329	886
271	330	883
272	330	880
273	331	877
274	331	875
275	332	872
276	333	869
277	333	866
278	334	864
279	335	861
280	335	859
281	336	856
282	337	853
283	337	851
284	338	848
285	338	846
286	339	843
287	340	840
288	340	838
289	341	836
290	342	833
291	342	831
292	343	828
293	344	826
294	344	823
295	345	821
296	345	818
297	346	816
298	347	813
299	347	811
300	348	809
301	349	807
302	349	804
303	350	802
304	351	800
305	351	797
306	352	795
307	353	793
308	353	790
309	354	788
310	355	786
311	355	784
312	356	781
313	356	779
314	357	777
315	358	775
316	358	773
317	359	771
318	360	768
319	360	766
320	361	764
321	362	762
322	362	760
323	363	758
324	364	756
325	364	753
326	365	751
327	365	749
328	366	747
329	367	745
330	367	743
331	368	741
332	369	739
333	369	737
334	370	735
335	371	733
336	371	731
337	372	729
338	372	727
339	373	725
340	374	723
341	374	721
342	375	719
343	376	717
344	376	715
345	377	713
346	378	711
347	378	709
348	379	707
349	379	705
350	380	703
351	381	702
352	382	700
353	382	698
354	383	696
355	384	694
356	384	692
357	385	691
358	385	689
359	386	687
360	387	685
361	388	684
362	388	682
363	389	680
364	389	678
365	390	676
366	391	674
367	391	672
368	392	671
369	393	669
370	393	667
371	394	665
372	395	664
373	395	662
374	396	660
375	396	658
376	397	656
377	398	655
378	398	653
379	399	651
380	400	650
381	400	648
382	401	646
383	402	645
384	402	643
385	403	641
386	404	640
387	404	638
388	405	636
389	405	634
390	406	633
391	407	631
392	407	629
393	408	628
394	409	626
395	409	624
396	410	623
397	410	621
398	411	619
399	412	619
400	413	617
401	414	616
402	414	614
403	415	613
404	416	611
405	416	609
406	417	608
407	418	606
408	418	605
409	419	603
410	420	602
411	420	600
412	421	598
413	422	597
414	422	595
415	423	594
416	423	592
417	424	591
418	425	589
419	425	588
420	426	586
421	427	585
422	427	583
423	428	582
424	429	580
425	429	578
426	430	577
427	430	575
428	431	574
429	432	572
430	432	571
431	433	569
432	434	568
433	434	567
434	435	565
435	436	564
436	436	562
437	437	561
438	437	559
439	438	558
440	439	556
441	439	555
442	440	553
443	440	552
444	441	550
445	442	549
446	442	547
447	443	546
448	444	545
449	444	543
450	445	542
451	446	540
452	446	539
453	447	537
454	447	536
455	448	535
456	449	533
457	449	532
458	450	530
459	451	529
460	451	528
461	452	526
462	452	525
463	453	523
464	454	522
465	454	521
466	455	519
467	455	518
468	456	516
469	457	515
470	457	514
471	458	512
472	459	511
473	459	510
474	460	508
475	460	507
476	461	505
477	462	504
478	462	503
479	463	502
480	464	500
481	464	499
482	465	498
483	466	496
484	466	495
485	467	494
486	467	492
487	468	491
488	469	490
489	469	488
490	470	487
491	470	486
492	471	485
493	472	483
494	472	482
495	473	481
496	473	479
497	474	478
498	475	477
499	475	475
500	476	474
501	477	473
502	477	472
503	478	470
504	478	469
505	479	468
506	480	466
507	480	465
508	481	464
509	482	463
510	482	462
511	483	460
512	484	459
513	484	458
514	485	457
515	486	455
516	486	454
